Feature 1, Feature 2, Correlation Coefficient
Torque_converter_speed, Torque_converter_turbine_speed_-_Unfiltered, 1.0
Wheel_velocity_front_left-hand, Wheel_velocity_rear_left-hand, 1.0
Wheel_velocity_rear_right-hand, Wheel_velocity_front_right-hand, 1.0
Wheel_velocity_front_right-hand, Vehicle_speed, 1.0
Wheel_velocity_rear_right-hand, Vehicle_speed, 1.0
Wheel_velocity_front_left-hand, Wheel_velocity_front_right-hand, 1.0
Wheel_velocity_rear_right-hand, Wheel_velocity_rear_left-hand, 1.0
Wheel_velocity_front_left-hand, Wheel_velocity_rear_right-hand, 1.0
Wheel_velocity_front_left-hand, Vehicle_speed, 1.0
Wheel_velocity_front_right-hand, Wheel_velocity_rear_left-hand, 1.0
Wheel_velocity_rear_left-hand, Vehicle_speed, 1.0
Engine_torque_after_correction, Engine_torque, 1.0
Flywheel_torque_(after_torque_interventions), Flywheel_torque, 1.0
Throttle_position_signal, Absolute_throttle_position, 1.0
Engine_speed, Maximum_indicated_engine_torque, 0.95
Engine_speed, Torque_converter_turbine_speed_-_Unfiltered, 0.94
Engine_speed, Torque_converter_speed, 0.94
Maximum_indicated_engine_torque, Torque_converter_turbine_speed_-_Unfiltered, 0.93
Maximum_indicated_engine_torque, Torque_converter_speed, 0.93
Engine_torque, Calculated_LOAD_value, 0.92
Engine_torque_after_correction, Calculated_LOAD_value, 0.92
Engine_torque, Flywheel_torque, 0.89
Flywheel_torque_(after_torque_interventions), Engine_torque, 0.89
Engine_torque_after_correction, Flywheel_torque_(after_torque_interventions), 0.89
Engine_torque_after_correction, Flywheel_torque, 0.89
Fuel_consumption, Engine_torque_after_correction, 0.88
Fuel_consumption, Engine_torque, 0.88
Torque_converter_speed, Wheel_velocity_front_left-hand, 0.84
Wheel_velocity_front_left-hand, Torque_converter_turbine_speed_-_Unfiltered, 0.84
Torque_converter_speed, Wheel_velocity_rear_left-hand, 0.84
Wheel_velocity_rear_left-hand, Torque_converter_turbine_speed_-_Unfiltered, 0.84
Torque_converter_speed, Vehicle_speed, 0.84
Torque_converter_turbine_speed_-_Unfiltered, Vehicle_speed, 0.84
Torque_converter_speed, Wheel_velocity_front_right-hand, 0.84
Wheel_velocity_front_right-hand, Torque_converter_turbine_speed_-_Unfiltered, 0.84
Torque_converter_speed, Wheel_velocity_rear_right-hand, 0.84
Wheel_velocity_rear_right-hand, Torque_converter_turbine_speed_-_Unfiltered, 0.83
Maximum_indicated_engine_torque, Wheel_velocity_front_left-hand, 0.82
Maximum_indicated_engine_torque, Wheel_velocity_rear_left-hand, 0.82
Maximum_indicated_engine_torque, Vehicle_speed, 0.82
Fuel_consumption, Absolute_throttle_position, 0.82
Maximum_indicated_engine_torque, Wheel_velocity_front_right-hand, 0.82
Maximum_indicated_engine_torque, Wheel_velocity_rear_right-hand, 0.82
Fuel_consumption, Throttle_position_signal, 0.82
Engine_speed, Wheel_velocity_front_left-hand, 0.81
Engine_speed, Wheel_velocity_rear_left-hand, 0.81
Engine_speed, Vehicle_speed, 0.81
Calculated_LOAD_value, Flywheel_torque, 0.81
Engine_speed, Wheel_velocity_front_right-hand, 0.81
Flywheel_torque_(after_torque_interventions), Calculated_LOAD_value, 0.81
Engine_speed, Wheel_velocity_rear_right-hand, 0.81
Clutch_operation_acknowledge, Converter_clutch, -0.93
